LHA Rates Payable for 2022-23,,,,,
BRMA,Room,1 Bed,2 Bed,3 Bed,4 Bed
Aberdeen and Shire,74.79,97.81,136.93,172.6,230.14
Argyll and Bute,72.74,86.3,115.07,126.58,207.12
Ayrshires,76.99,80.55,97.81,115.07,159.95
Dumfries and Galloway,59.84,85.15,103.56,115.03,155.34
Dundee and Angus,69.04,84,115.07,149.59,241.64
East Dunbartonshire,71.34,103.56,136.93,182.96,298.03
Fife,70.19,86.3,109.32,132.33,195.62
Forth Valley,74.12,90.9,115.07,149.59,218.63
Greater Glasgow,80.55,113.92,149.59,172.6,322.19
Highland and Islands,74.79,97.81,126.58,146.14,184.11
Lothian,94.82,158.79,189.86,253.15,390.08
North Lanarkshire,65.59,82.85,103.56,113.92,182.96
Perth and Kinross,65.01,92.05,115.07,149.59,205.97
Renfrewshire/ Inverclyde,67.66,80.55,103.56,126.58,230.14
Scottish Borders,62.14,74.79,97.81,120.82,184.11
South Lanarkshire,69.04,86.3,109.32,143.84,218.63
West Dunbartonshire,69.04,86.3,103.56,126.58,218.63
West Lothian,69.04,112.77,138.08,159.95,218.63
Average,71.485,94.4833333333333,120.375,147.606666666667,225.662222222222
