Date	England	Wales	Scotland	Total
201304	30	..	..	30
201305	243	..	..	243
201306	589	6	13	607
201307	1711	55	88	1855
201308	3078	139	236	3453
201309	4781	214	466	5465
201310	7523	276	1063	8863
201311	11531	377	1949	13853
201312	15509	550	2946	19003
201401	21600	1214	3803	26623
201402	27296	2124	4668	34089
201403	35244	3130	5757	44132
201404	43589	4869	6695	55155
201405	52684	5794	8325	66798
201406	63174	6721	9508	79410
201407	79960	8296	10983	99239
201408	104523	11543	14930	130997
201409	125687	15143	17720	158553
201410	155776	19232	20932	195939
201411	188904	24089	24316	237307
201412	221050	28223	28321	277599
201501	259877	32818	32550	325249
201502	293375	36387	36827	366583
201503	322474	39147	40585	402205
201504	349436	41464	44836	435740
201505	372809	43344	48308	464458
201506	399310	45249	51988	496556
201507	423377	47168	55296	525837
201508	443006	49020	58141	550171
201509	467253	51061	61377	579691
201510	491817	52889	64490	609195
201511	516603	54604	67960	639170
201512	539193	56413	70750	666351
201601	562302	57935	73798	694033
201602	590280	60521	78024	728822
201603	621792	64736	81847	768377
201604	656235	67983	86175	810392
201605	690107	73110	91211	854432
201606	721715	76545	96537	894804
201607	755955	79941	101832	937726
201608	794009	84557	105864	984431
201609	837580	88209	111293	1037081
201610	881959	91043	117521	1090523
201611	924347	93374	122403	1140123
201612	960474	95746	126788	1183006
201701	1000021	98861	132147	1231029
201702	1036401	101443	137680	1275525
201703	1078477	104284	143573	1326335
201704	1109046	106476	148063	1363584
201705	1145789	109409	153073	1408278
201706	1180818	112111	158276	1451199
201707	1212946	114941	163139	1491024
201708	1243344	117209	166648	1527206
201709	1271860	119487	170250	1561600
201710	1307471	122686	175434	1605587
201711	1341277	125739	178920	1645933
201712	1358897	127134	180742	1666773
201801	1387783	128875	183478	1700142
201802	1409297	130596	185808	1725695
201803	1433740	132114	188670	1754527
201804	1458159	134016	191028	1783200
201805	1485723	135626	195058	1816401
201806	1514721	137135	198698	1850553
201807	1543713	138334	201871	1883912
201808	1575534	140060	205655	1921245
201809	1604968	141797	210063	1956831
201810	1631050	143114	213745	1987909
201811	1652778	144382	216555	2013716
201812	1664502	145155	217468	2027122
201901	1682103	146934	220045	2049087
201902	1705694	149894	223174	2078757
201903	1720587	151295	225010	2096894
201904	1733295	152046	226702	2112048
201905	1751197	153631	228528	2133357
201906	1774292	155736	231318	2161348
201907	1807209	158725	235567	2201501
201908	1839482	162045	239274	2240796
201909	1872159	165333	244022	2281512
201910	1907121	168796	248149	2324060
201911	1932887	171440	251277	2355609
201912	1952866	173282	254136	2380280
202001	1969219	174901	256927	2401053
202002	1984530	176332	258909	2419774
202003	2011746	178478	263316	2453541
202004	2035931	180738	266095	2482769
202005	2057752	183268	268933	2509951
202006	2075760	185067	271216	2532049
202007	2094253	186078	273788	2554119
202008	2107830	186745	275338	2569916
202009	2124157	187753	277560	2589467
202010	2136635	188741	278942	2604314
202011	2150913	189759	280214	2620885
202012	2159604	190476	281039	2631117
202101	2166946	191193	281570	2639708
202102	2184007	192561	283638	2660210
202103	2203098	194146	285993	2683237
202104	2217546	195191	287527	2700263
202105	2230130	196256	288768	2715157
202106	2243136	197165	289847	2730150
202107	2261654	198775	292095	2752525
202108	2276888	199933	293713	2770534
202109	2289531	201036	295158	2785726
202110	2302577	202244	297005	2801821
202111	2324477	204025	299447	2827945
202112	2345406	205633	302230	2853273
202201	2367455	207484	305189	2880130
202202	2388081	208900	307691	2904681
202203	2418543	210755	310866	2940162
202204	2443254	212518	313620	2969392
