code,name,A-,A,B,C,D,E,F,G,H,I
XX,Total Unitary Authorities ,1044.146,1252.975,1461.804,1670.633,1879.463,2297.121,2714.779,3132.438,3758.925,4385.413
W06000001,Isle of Anglesey ,1014.056,1216.867,1419.678,1622.489,1825.3,2230.922,2636.544,3042.167,3650.6,4259.033
W06000002,Gwynedd ,1104,1324.8,1545.6,1766.4,1987.2,2428.8,2870.4,3312,3974.4,4636.8
W06000003,Conwy ,1091.011,1309.213,1527.416,1745.618,1963.82,2400.224,2836.629,3273.033,3927.64,4582.247
W06000004,Denbighshire ,1071.022,1285.227,1499.431,1713.636,1927.84,2356.249,2784.658,3213.067,3855.68,4498.293
W06000005,Flintshire ,1059.111,1270.933,1482.756,1694.578,1906.4,2330.044,2753.689,3177.333,3812.8,4448.267
W06000006,Wrexham ,1023.939,1228.727,1433.514,1638.302,1843.09,2252.666,2662.241,3071.817,3686.18,4300.543
W06000023,Powys ,1062.994,1275.593,1488.192,1700.791,1913.39,2338.588,2763.786,3188.983,3826.78,4464.577
W06000008,Ceredigion ,1060.128,1272.153,1484.179,1696.204,1908.23,2332.281,2756.332,3180.383,3816.46,4452.537
W06000009,Pembrokeshire ,942.2611,1130.713,1319.166,1507.618,1696.07,2072.974,2449.879,2826.783,3392.14,3957.497
W06000010,Carmarthenshire ,1060.371,1272.445,1484.519,1696.593,1908.667,2332.816,2756.964,3181.112,3817.335,4453.557
W06000011,Swansea ,1051.972,1262.366,1472.76,1683.154,1893.549,2314.337,2735.126,3155.915,3787.097,4418.28
W06000012,Neath Port Talbot ,1173.35,1408.02,1642.69,1877.36,2112.03,2581.37,3050.71,3520.05,4224.06,4928.07
W06000013,Bridgend ,1140.222,1368.267,1596.311,1824.356,2052.4,2508.489,2964.578,3420.667,4104.8,4788.933
W06000014,Vale of Glamorgan ,1024.372,1229.247,1434.121,1638.996,1843.87,2253.619,2663.368,3073.117,3687.74,4302.364
W06000016,Rhondda Cynon Taf ,1095.567,1314.68,1533.793,1752.907,1972.02,2410.247,2848.473,3286.7,3944.04,4601.38
W06000024,Merthyr Tydfil ,1197.167,1436.6,1676.033,1915.467,2154.9,2633.767,3112.633,3591.5,4309.8,5028.1
W06000018,Caerphilly ,940.7278,1128.873,1317.019,1505.164,1693.31,2069.601,2445.892,2822.183,3386.62,3951.057
W06000019,Blaenau Gwent ,1212.133,1454.56,1696.987,1939.413,2181.84,2666.694,3151.547,3636.4,4363.68,5090.96
W06000020,Torfaen ,1028.642,1234.371,1440.099,1645.828,1851.556,2263.013,2674.47,3085.927,3703.112,4320.297
W06000021,Monmouthshire ,1088.856,1306.627,1524.398,1742.169,1959.94,2395.482,2831.024,3266.567,3919.88,4573.193
W06000022,Newport ,951.6111,1141.933,1332.255,1522.578,1712.9,2093.544,2474.189,2854.833,3425.8,3996.767
W06000015,Cardiff ,953.0781,1143.694,1334.309,1524.925,1715.541,2096.772,2478.003,2859.234,3431.081,4002.928
