name,code,Total debit for year (1),Total debit for year (1),to_be_collected,Amounts received during year ,Amount received as a percentage of total debit ,Amounts collected as a percentage of budgeted amount ,Amounts written off during year ,Amounts outstanding at 31 March 
Isle of Anglesey ,W06000001,47936,47936,47361,46464,96.929239,98.106037,19,1453
Gwynedd ,W06000002,93006,93006,80876,89449,96.175516,110.600178,19,3538
Conwy ,W06000003,79355,79355,77458,77260,97.359965,99.744378,14,2081
Denbighshire ,W06000004,62659,62659,60485,61240,97.735361,101.248243,15,1404
Flintshire ,W06000005,102972,102972,101846,100635,97.730451,98.81095,114,2223
Wrexham ,W06000006,79598,79598,78126,77007,96.744893,98.567698,4,2587
Powys ,W06000023,100403,100403,98663,97689,97.296894,99.012801,21,2693
Ceredigion ,W06000008,50376,50376,48824,48970,97.208988,100.299033,9,1397
Pembrokeshire ,W06000009,79121,79121,75760,76244,96.363797,100.63886,-5,2882
Carmarthenshire ,W06000010,114228,114228,114741,111073,97.23798,96.803235,-1,3156
Swansea ,W06000011,143361,143361,141781,134665,93.934194,94.980992,80,8616
Neath Port Talbot ,W06000012,79547,79547,76306,77967,98.013753,102.176762,9,1571
Bridgend ,W06000013,91918,91918,89623,87482,95.173959,97.611104,68,4368
Vale of Glamorgan ,W06000014,95948,95948,93053,92275,96.171885,99.163917,13,3660
Rhondda Cynon Taf ,W06000016,122601,122601,118005,118520,96.671316,100.436422,75,4006
Merthyr Tydfil ,W06000024,31833,31833,31866,30058,94.424025,94.326241,26,1749
Caerphilly ,W06000018,79737,79737,77173,75999,95.312088,98.478743,36,3702
Blaenau Gwent ,W06000019,35473,35473,33474,32734,92.278634,97.789329,0,2739
Torfaen ,W06000020,50351,50351,49462,47691,94.717086,96.419474,8,2652
Monmouthshire ,W06000021,77545,77545,76259,75350,97.169386,98.80801,4,2191
Newport ,W06000022,82115,82115,80699,78904,96.08963,97.775685,6,3205
Cardiff ,W06000015,207706,207706,202435,199394,95.99819,98.497789,91,8221
