bname,bcode,room,bed_1,bed_2,bed_3,bed_4
Aberdeen and Shire,S33000001,74.79,109.32,149.59,197.92,287.67
Argyll and Bute,S33000002,80.55,103.56,138.08,159.95,276.16
Ayrshires,S33000003,86.3,86.3,109.32,130,184.11
Dumfries and Galloway,S33000004,77.1,87.45,103.56,115.07,158.79
Dundee and Angus,S33000005,86.3,92.05,141.53,182.96,253.15
East Dunbartonshire,S33000006,97.81,126.58,172.6,230.14,322.19
Fife,S33000007,86.3,103.56,135.78,164.55,287.67
Forth Valley,S33000008,95.51,105.86,149.59,184.11,299.18
Greater Glasgow,S33000009,103.56,159.95,195.62,223.23,414.25
Highland and Islands,S33000010,87.45,109.32,136.93,159.95,195.62
Lothian,S33000011,109.32,172.6,223.23,316.44,501.7
North Lanarkshire,S33000012,86.3,101.26,126.58,155.34,205.97
Perth and Kinross,S33000013,82.66,97.81,128.88,172.6,287.67
Renfrewshire/ Inverclyde,S33000014,82.85,92.05,120.82,138.08,253.15
Scottish Borders,S33000015,74.79,86.3,115.07,141.53,226.68
South Lanarkshire,S33000016,86.3,103.56,132.33,164.74,254.76
West Dunbartonshire,S33000017,80.55,109.32,136.93,155.34,218.63
West Lothian,S33000018,94.36,115.07,143.84,172.6,256.03
96600 Blaenau Gwent,96600,68.9655172413793,74.9172413793104,98.8505747126437,112.64367816092,149.425287356322
16 West Cheshire,16,73.25,103.56,126.58,149.59,205.97
95000 North West Wales,95000,78.7149425287357,89.9011494252874,126.436781609195,143.67816091954,172.413793103448
95100 North Clwyd,95100,78.7149425287357,90.8045977011494,126.436781609195,149.425287356322,196.551724137931
95300 Wrexham,95300,89.9563218390805,109.195402298851,120.689655172414,137.931034482759,172.413793103448
95400 South Gwynedd,95400,78.7149425287357,80.4597701149425,99.8896551724138,124.862068965517,155.172413793103
95500 North Powys,95500,67.4252873563219,74.7126436781609,91.9540229885058,126.436781609195,155.172413793103
95600 Ceredigion,95600,69.9241379310345,96.5517241379311,114.942528735632,126.436781609195,149.425287356322
95700 Brecon and Radnor,95700,76.416091954023,78.1609195402299,101.149425287356,126.436781609195,149.425287356322
95800 Pembrokeshire,95800,68.3701149425287,82.7586206896552,105.747126436782,132.183908045977,160.919540229885
95900 Carmarthenshire,95900,77.416091954023,91.9540229885058,112.377011494253,122.988505747126,149.425287356322
96000 Swansea,96000,86.2068965517241,120.689655172414,126.436781609195,137.931034482759,188.505747126437
96100 Neath Port Talbot ,96100,86.2068965517241,94.6367816091954,103.448275862069,114.942528735632,132.183908045977
96200 Bridgend,96200,68.9655172413793,91.9540229885058,120.689655172414,132.183908045977,178.16091954023
96300 Taff Rhondda,96300,68.9655172413793,86.2068965517241,103.448275862069,113.793103448276,149.425287356322
96400 Merthyr Cynon,96400,68.9655172413793,99.8896551724138,114.942528735632,126.436781609195,166.666666666667
96500 Caerphilly,96500,77.5655172413793,80.4597701149425,113.793103448276,126.436781609195,172.413793103448
96700 Torfaen,96700,68.9655172413793,114.942528735632,129.857471264368,149.425287356322,172.413793103448
96800 Monmouthshire,96800,77.5655172413793,122.565517241379,160.919540229885,182.758620689655,252.873563218391
96900 Vale of Glamorgan,96900,68.9655172413793,120.866666666667,153.103448275862,166.666666666667,235.632183908046
97000 Cardiff,97000,84.1609195402299,149.425287356322,189.655172413793,212.64367816092,298.850574712644
97100 Newport,97100,77.5655172413793,101.149425287356,137.931034482759,149.425287356322,202.298850574713
